pathway	pancancer	ontology
6,7-dimethyl-8-ribityllumazine synthase activity	1513	Molecular Function
Defective Mismatch Repair Associated With MSH2	1512	Reactome
Choline catabolism	1511	Reactome
potassium transmembrane transporter activity, phosphorylative mechanism	1509	Molecular Function
diaminopimelate epimerase activity	1504	Molecular Function
Lysine catabolism	1498	Reactome
chromosome separation	1496	Biological Process
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	1496	Molecular Function
DNA duplex unwinding	1492	Biological Process
iron ion transport	1492	Biological Process
Mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	1490	Metacyc
pantoate-beta-alanine ligase activity	1489	Molecular Function
Mevalonate pathway II (archaea)	1489	Metacyc
ATPase-coupled cation transmembrane transporter activity	1488	Molecular Function
porphobilinogen synthase activity	1488	Molecular Function
nitronate monooxygenase activity	1485	Molecular Function
[formate-C-acetyltransferase]-activating enzyme activity	1482	Molecular Function
intracellular signal transduction	1479	Biological Process
2-isopropylmalate synthase activity	1476	Molecular Function
UDP-N-acetylgalactosamine biosynthetic process	1475	Biological Process
UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity	1475	Molecular Function
Dtdp-n-acetylthomosamine biosynthesis	1474	Metacyc
GDP-fucose biosynthesis	1474	Reactome
Activation of AMPK downstream of NMDARs	1473	Reactome
Kinesins	1472	Reactome
Carboxyterminal post-translational modifications of tubulin	1471	Reactome
Meiotic recombination	1470	Reactome
RHO GTPases Activate Formins	1468	Reactome
thymidylate synthase (FAD) activity	1458	Molecular Function
Defective MUTYH substrate binding	1458	Reactome
Defective MUTYH substrate processing	1458	Reactome
L-ascorbate biosynthesis I (L-galactose pathway)	1457	Metacyc
COPI-mediated anterograde transport	1456	Reactome
2-oxoglutarate decarboxylation to succinyl-CoA	1455	Metacyc
EML4 and NUDC in mitotic spindle formation	1454	Reactome
Mitotic Prometaphase	1454	Reactome
Resolution of Sister Chromatid Cohesion	1454	Reactome
DNA replication, synthesis of RNA primer	1453	Biological Process
Phosphate bond hydrolysis by NUDT proteins	1448	Reactome
uroporphyrinogen decarboxylase activity	1440	Molecular Function
Heme b biosynthesis IV (Gram-positive bacteria)	1440	Metacyc
Mevalonate pathway III (archaea)	1440	Metacyc
Superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	1440	Metacyc
protein lipoylation	1437	Biological Process
threonyl-tRNA aminoacylation	1436	Biological Process
threonine-tRNA ligase activity	1436	Molecular Function
Chitin degradation II (Vibrio)	1434	Metacyc
Chitin degradation III (Serratia)	1434	Metacyc
Phosphatidylserine and phosphatidylethanolamine biosynthesis I	1434	Metacyc
1-deoxy-D-xylulose-5-phosphate synthase activity	1431	Molecular Function
porin activity	1431	Molecular Function
phosphorelay response regulator activity	1430	Molecular Function
Acarbose and validamycin biosynthesis	1423	KEGG
Dtdp-3-acetamido-3,6-dideoxy-alpha-d-glucose biosynthesis	1423	Metacyc
Dtdp-4-o-demethyl-beta-l-noviose biosynthesis	1423	Metacyc
Dtdp-6-deoxy-alpha-d-allose biosynthesis	1423	Metacyc
Dtdp-alpha-d-mycaminose biosynthesis	1423	Metacyc
Dtdp-beta-l-4-epi-vancosamine biosynthesis	1423	Metacyc
Dtdp-beta-l-digitoxose biosynthesis	1423	Metacyc
Dtdp-d-beta-fucofuranose biosynthesis	1423	Metacyc
Dtdp-d-desosamine biosynthesis	1423	Metacyc
Dtdp-d-forosamine biosynthesis	1423	Metacyc
Dtdp-d-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis	1423	Metacyc
Dtdp-l-daunosamine biosynthesis	1423	Metacyc
Dtdp-l-megosamine biosynthesis	1423	Metacyc
Dtdp-l-mycarose biosynthesis	1423	Metacyc
Dtdp-l-olivose biosynthesis	1423	Metacyc
Dtdp-n-acetylviosamine biosynthesis	1423	Metacyc
NADP biosynthetic process	1422	Biological Process
COPI-independent Golgi-to-ER retrograde traffic	1422	Reactome
HSP90 chaperone cycle for steroid hormone receptors (SHR)	1419	Reactome
HCMV Early Events	1417	Reactome
diaminopimelate decarboxylase activity	1416	Molecular Function
Galactose catabolism	1415	Reactome
DNA mediated transformation	1412	Biological Process
L-isoleucine degradation II	1412	Metacyc
L-leucine degradation III	1412	Metacyc
L-valine degradation II	1412	Metacyc
cyclic nucleotide biosynthetic process	1409	Biological Process
Assembly and cell surface presentation of NMDA receptors	1406	Reactome
ABC transporters in lipid homeostasis	1403	Reactome
fructose 1,6-bisphosphate 1-phosphatase activity	1401	Molecular Function
copper ion homeostasis	1400	Biological Process
Adenine and adenosine salvage V	1398	Metacyc
Purine deoxyribonucleosides degradation I	1398	Metacyc
Purine deoxyribonucleosides degradation II	1398	Metacyc
Recycling pathway of L1	1398	Reactome
RNA catabolic process	1397	Biological Process
Cilium Assembly	1397	Reactome
branched-chain amino acid transport	1396	Biological Process
Zeatin biosynthesis	1396	KEGG
RHO GTPases activate IQGAPs	1396	Reactome
asparagine synthase (glutamine-hydrolyzing) activity	1395	Molecular Function
thymidine kinase activity	1395	Molecular Function
Gap junction assembly	1395	Reactome
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	1395	Reactome
ribosome binding	1391	Molecular Function
folic acid binding	1388	Molecular Function
deoxyribonucleotide biosynthetic process	1387	Biological Process
catalase activity	1387	Molecular Function
methionine synthase activity	1387	Molecular Function
Cis-zeatin biosynthesis	1385	Metacyc
Fluoroacetate and fluorothreonine biosynthesis	1381	Metacyc
Insulin effects increased synthesis of Xylulose-5-Phosphate	1377	Reactome
TALDO1 deficiency: failed conversion of Fru(6)P, E4P to SH7P, GA3P	1377	Reactome
TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P	1377	Reactome
extracellular region	1374	Cellular Component
rRNA methylation	1367	Biological Process
rRNA modification	1367	Biological Process
[2Fe-2S] iron-sulfur cluster biosynthesis	1365	Metacyc
Putrescine biosynthesis II	1365	Metacyc
menaquinone biosynthetic process	1363	Biological Process
3-phosphoshikimate 1-carboxyvinyltransferase activity	1356	Molecular Function
chloride transport	1354	Biological Process
ribonucleoside-triphosphate reductase activity	1352	Molecular Function
glutamate-5-semialdehyde dehydrogenase activity	1351	Molecular Function
organic acid metabolic process	1348	Biological Process
voltage-gated chloride channel activity	1345	Molecular Function
phosphogluconate dehydrogenase (decarboxylating) activity	1341	Molecular Function
ribosome biogenesis	1333	Biological Process
glutamyl-tRNA aminoacylation	1330	Biological Process
regulation of DNA repair	1329	Biological Process
Association of TriC/CCT with target proteins during biosynthesis	1327	Reactome
L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	1323	Metacyc
L-tryptophan degradation XI (mammalian, via kynurenine)	1323	Metacyc
channel activity	1321	Molecular Function
pyrophosphatase activity	1321	Molecular Function
tryptophan catabolic process to kynurenine	1315	Biological Process
glucosamine-6-phosphate deaminase activity	1313	Molecular Function
arginine catabolic process	1309	Biological Process
NAD+ binding	1305	Molecular Function
type II protein secretion system complex	1303	Cellular Component
Biosynthesis of various secondary metabolites - part 3	1297	KEGG
solute:proton antiporter activity	1292	Molecular Function
lipoyl(octanoyl) transferase activity	1279	Molecular Function
L-isoleucine biosynthesis V	1273	Metacyc
protein secretion by the type II secretion system	1272	Biological Process
protein-glutamate methylesterase activity	1270	Molecular Function
Phenazine biosynthesis	1270	KEGG
4-hydroxy-2(1H)-quinolone biosynthesis	1270	Metacyc
Acridone alkaloid biosynthesis	1270	Metacyc
tRNA wobble adenosine to inosine editing	1264	Biological Process
tRNA-specific adenosine deaminase activity	1264	Molecular Function
CTP biosynthetic process	1261	Biological Process
spermidine biosynthetic process	1260	Biological Process
Synthesis of glycosylphosphatidylinositol (GPI)	1252	Reactome
cytosol	1249	Cellular Component
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	1249	Molecular Function
purine nucleotide metabolic process	1236	Biological Process
transmembrane signaling receptor activity	1235	Molecular Function
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	1230	Reactome
amidase activity	1229	Molecular Function
L-serine ammonia-lyase activity	1228	Molecular Function
cell wall organization	1227	Biological Process
Sodium-coupled sulphate, di- and tri-carboxylate transporters	1224	Reactome
GTP cyclohydrolase II activity	1221	Molecular Function
D-cycloserine biosynthesis	1220	Metacyc
L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)	1220	Metacyc
N-3-oxalyl-L-2,3-diaminopropanoate biosynthesis	1220	Metacyc
glucose catabolic process	1218	Biological Process
queuosine salvage	1211	Biological Process
beta-galactosidase activity	1210	Molecular Function
2-carboxy-1,4-naphthoquinol biosynthesis	1210	Metacyc
glycine biosynthetic process from serine	1206	Biological Process
tetrahydrofolate interconversion	1206	Biological Process
glycine hydroxymethyltransferase activity	1206	Molecular Function
orotate phosphoribosyltransferase activity	1205	Molecular Function
DNA topoisomerase type I (single strand cut, ATP-independent) activity	1202	Molecular Function
Thiamine salvage I	1202	Metacyc
glutamine metabolic process	1201	Biological Process
biotin-[acetyl-CoA-carboxylase] ligase activity	1199	Molecular Function
protein flavinylation	1196	Biological Process
Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)	1196	Reactome
Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2	1196	Reactome
Protein methylation	1196	Reactome
thiamine-phosphate kinase activity	1194	Molecular Function
arginine binding	1193	Molecular Function
Various types of N-glycan biosynthesis	1193	KEGG
lipopolysaccharide biosynthetic process	1192	Biological Process
Aerobic respiration I (cytochrome c)	1191	Metacyc
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	1189	Metacyc
PPARA activates gene expression	1182	Reactome
Beta-(1,4)-mannan degradation	1175	Metacyc
rRNA catabolic process	1173	Biological Process
proton-transporting two-sector ATPase complex, proton-transporting domain	1173	Cellular Component
S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I	1171	Metacyc
dTDP-4-dehydrorhamnose 3,5-epimerase activity	1170	Molecular Function
Cardiolipin biosynthesis I	1170	Metacyc
Cardiolipin biosynthesis II	1170	Metacyc
Sulfide oxidation to sulfate	1169	Reactome
acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity	1168	Molecular Function
dipeptidase activity	1165	Molecular Function
rRNA base methylation	1159	Biological Process
protein histidine kinase activity	1159	Molecular Function
cAMP biosynthetic process	1154	Biological Process
adenylate cyclase activity	1154	Molecular Function
Regulation of cholesterol biosynthesis by SREBP (SREBF)	1146	Reactome
5-amino-6-(5-phosphoribosylamino)uracil reductase activity	1144	Molecular Function
Chitin degradation to ethanol	1144	Metacyc
Assembly of active LPL and LIPC lipase complexes	1134	Reactome
phosphate ion transport	1133	Biological Process
ubiquinone biosynthetic process	1131	Biological Process
Pyrimidine ribonucleosides salvage I	1131	Metacyc
tRNA methylation	1127	Biological Process
serine-type carboxypeptidase activity	1127	Molecular Function
tryptophan biosynthetic process	1125	Biological Process
carboxy-lyase activity	1124	Molecular Function
3,4-dihydroxy-2-butanone-4-phosphate synthase activity	1123	Molecular Function
sporulation resulting in formation of a cellular spore	1122	Biological Process
ATF6 (ATF6-alpha) activates chaperones	1122	Reactome
CREB3 factors activate genes	1122	Reactome
pilus	1120	Cellular Component
extracellular polysaccharide biosynthetic process	1119	Biological Process
response to heat	1119	Biological Process
guanylate kinase activity	1119	Molecular Function
Abacavir metabolism	1119	Reactome
Aerobic respiration II (cytochrome c) (yeast)	1118	Metacyc
Metabolism of polyamines	1115	Reactome
lipoate biosynthetic process	1114	Biological Process
Glycogen synthesis	1110	Reactome
polyamine transport	1106	Biological Process
shikimate 3-dehydrogenase (NADP+) activity	1102	Molecular Function
Methylglyoxal degradation I	1102	Metacyc
purine nucleotide binding	1101	Molecular Function
L-serine biosynthetic process	1100	Biological Process
protein transport by the Tat complex	1100	Biological Process
molybdopterin cofactor binding	1096	Molecular Function
dTDP biosynthetic process	1094	Biological Process
purine-nucleoside phosphorylase activity	1094	Molecular Function
thymidylate kinase activity	1094	Molecular Function
heme biosynthetic process	1090	Biological Process
ferrochelatase activity	1090	Molecular Function
lipoate synthase activity	1090	Molecular Function
phosphoribosylanthranilate isomerase activity	1084	Molecular Function
phosphoribosyl-ATP diphosphatase activity	1083	Molecular Function
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	1079	Molecular Function
Starch degradation II	1078	Metacyc
protein tyrosine phosphatase activity	1077	Molecular Function
Beta-1,4-d-mannosyl-n-acetyl-d-glucosamine degradation	1076	Metacyc
bacterial-type flagellum basal body	1073	Cellular Component
dUTP diphosphatase activity	1072	Molecular Function
Putrescine biosynthesis I	1072	Metacyc
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	1071	Molecular Function
3-hydroxy-4-methyl-anthranilate biosynthesis I	1071	Metacyc
3-hydroxy-4-methyl-anthranilate biosynthesis II	1071	Metacyc
protein maturation	1069	Biological Process
indole-3-glycerol-phosphate synthase activity	1069	Molecular Function
Digestion	1066	Reactome
chromate transport	1065	Biological Process
chromate transmembrane transporter activity	1065	Molecular Function
Diethylphosphate degradation	1063	Metacyc
UCH proteinases	1063	Reactome
3-hydroxyquinaldate biosynthesis	1059	Metacyc
Quinoxaline-2-carboxylate biosynthesis	1059	Metacyc
3-isopropylmalate dehydratase activity	1057	Molecular Function
sulfate transport	1056	Biological Process
dUMP biosynthetic process	1055	Biological Process
dUTP catabolic process	1055	Biological Process
aerobic electron transport chain	1053	Biological Process
Vitamin C (ascorbate) metabolism	1052	Reactome
phosphoglucosamine mutase activity	1049	Molecular Function
Ophthalmate biosynthesis	1048	Metacyc
monosaccharide metabolic process	1046	Biological Process
siderophore transport	1045	Biological Process
HslUV protease complex	1045	Cellular Component
Gliotoxin biosynthesis	1043	Metacyc
hydroxyethylthiazole kinase activity	1042	Molecular Function
ketol-acid reductoisomerase activity	1042	Molecular Function
glycogen phosphorylase activity	1041	Molecular Function
L-cysteine biosynthesis IX (Trichomonas vaginalis)	1040	Metacyc
UDP-N-acetylmuramoylalanine-D-glutamate ligase activity	1032	Molecular Function
phosphate ion transmembrane transport	1031	Biological Process
endodeoxyribonuclease activity, producing 5'-phosphomonoesters	1031	Molecular Function
formate-tetrahydrofolate ligase activity	1030	Molecular Function
Phosphatidate metabolism, as a signaling molecule	1030	Metacyc
molybdenum ion binding	1029	Molecular Function
Degradation of GLI1 by the proteasome	1029	Reactome
Degradation of GLI2 by the proteasome	1029	Reactome
GLI3 is processed to GLI3R by the proteasome	1029	Reactome
branched-chain amino acid metabolic process	1025	Biological Process
branched-chain-amino-acid transaminase activity	1025	Molecular Function
Glucosinolate biosynthesis	1025	KEGG
L-leucine degradation IV (Stickland reaction)	1025	Metacyc
Circadian Clock	1025	Reactome
acid-amino acid ligase activity	1024	Molecular Function
Gamma-glutamyl cycle	1023	Metacyc
Signaling by BRAF and RAF fusions	1023	Reactome
tRNA wobble uridine modification	1022	Biological Process
SOS response	1021	Biological Process
conversion of methionyl-tRNA to N-formyl-methionyl-tRNA	1019	Biological Process
methionyl-tRNA formyltransferase activity	1019	Molecular Function
SUMOylation of DNA damage response and repair proteins	1015	Reactome
leucyl-tRNA aminoacylation	1014	Biological Process
leucine-tRNA ligase activity	1014	Molecular Function
aspartate-ammonia ligase activity	1013	Molecular Function
arylformamidase activity	1012	Molecular Function
Ubiquinol-10 biosynthesis (prokaryotic)	1011	Metacyc
Ubiquinol-7 biosynthesis (prokaryotic)	1011	Metacyc
Ubiquinol-8 biosynthesis (prokaryotic)	1011	Metacyc
Ubiquinol-9 biosynthesis (prokaryotic)	1011	Metacyc
regulation of division septum assembly	1010	Biological Process
glucose-1-phosphate adenylyltransferase activity	1008	Molecular Function
phosphoenolpyruvate carboxykinase (ATP) activity	1006	Molecular Function
Heme degradation	1005	Reactome
monooxygenase activity	1003	Molecular Function
beta-galactosidase complex	1002	Cellular Component
phosphatidylglycerophosphatase activity	1000	Molecular Function
pyridoxine 5'-phosphate synthase activity	1000	Molecular Function
heme-copper terminal oxidase activity	993	Molecular Function
tetraacyldisaccharide 4'-kinase activity	992	Molecular Function
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	991	Molecular Function
Sulfate activation for sulfonation	987	Metacyc
polyribonucleotide nucleotidyltransferase activity	986	Molecular Function
Ethanol oxidation	984	Reactome
amino acid transmembrane transport	977	Biological Process
UDP-glucose 4-epimerase activity	976	Molecular Function
undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	976	Molecular Function
S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation II	976	Metacyc
UDP-alpha-D-galactose biosynthesis	976	Metacyc
O-phospho-L-serine:2-oxoglutarate aminotransferase activity	974	Molecular Function
glycine catabolic process	973	Biological Process
racemase activity, acting on amino acids and derivatives	972	Molecular Function
Metal ion SLC transporters	966	Reactome
D-galactosamine and N-acetyl-D-galactosamine degradation	965	Metacyc
N-acetyl-D-galactosamine degradation	965	Metacyc
glutamate racemase activity	963	Molecular Function
oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor	962	Molecular Function
tyrosine biosynthetic process	958	Biological Process
Orc1 removal from chromatin	958	Reactome
Fatty acyl-CoA biosynthesis	957	Reactome
oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	956	Molecular Function
magnesium ion transport	953	Biological Process
lipid-A-disaccharide synthase activity	953	Molecular Function
methylenetetrahydrofolate reductase (NAD(P)H) activity	951	Molecular Function
prephenate dehydrogenase (NAD+) activity	946	Molecular Function
glutamate-tRNA ligase activity	944	Molecular Function
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	943	Molecular Function
isoleucine-tRNA ligase activity	942	Molecular Function
IMP dehydrogenase activity	939	Molecular Function
CDT1 association with the CDC6:ORC:origin complex	939	Reactome
metallodipeptidase activity	937	Molecular Function
Aflatoxin activation and detoxification	937	Reactome
Synthesis of Leukotrienes (LT) and Eoxins (EX)	937	Reactome
Glycerol-3-phosphate shuttle	936	Metacyc
phosphoribosylformylglycinamidine cyclo-ligase activity	935	Molecular Function
Glycerophosphodiester degradation	935	Metacyc
prephenate dehydrogenase (NADP+) activity	934	Molecular Function
pyroglutamyl-peptidase activity	932	Molecular Function
Anandamide biosynthesis I	931	Metacyc
Anandamide biosynthesis II	931	Metacyc
acetyltransferase activity	929	Molecular Function
heme transport	925	Biological Process
mannose-6-phosphate isomerase activity	924	Molecular Function
threonine biosynthetic process	920	Biological Process
glutamine biosynthetic process	917	Biological Process
phosphomethylpyrimidine kinase activity	916	Molecular Function
Hydroxymethylpyrimidine salvage	916	Metacyc
Aerobic respiration III (alternative oxidase pathway)	914	Metacyc
Formaldehyde oxidation II (glutathione-dependent)	914	Metacyc
Pyrimidine nucleobases salvage I	912	Metacyc
alkylbase DNA N-glycosylase activity	909	Molecular Function
dihydropteroate synthase activity	906	Molecular Function
adenylate kinase activity	901	Molecular Function
Triglyceride catabolism	896	Reactome
tRNA-guanine transglycosylation	895	Biological Process
queuine tRNA-ribosyltransferase activity	895	Molecular Function
glycine dehydrogenase (decarboxylating) activity	891	Molecular Function
phosphopentomutase activity	891	Molecular Function
Mannitol biosynthesis	891	Metacyc
Mannitol degradation II	891	Metacyc
HATs acetylate histones	889	Reactome
Astrocytic Glutamate-Glutamine Uptake And Metabolism	887	Reactome
protein catabolic process	885	Biological Process
Defective GALE can cause Epimerase-deficiency galactosemia (EDG)	885	Reactome
siroheme biosynthetic process	884	Biological Process
homoserine kinase activity	881	Molecular Function
glucosamine-1-phosphate N-acetyltransferase activity	879	Molecular Function
UDP-N-acetylglucosamine diphosphorylase activity	879	Molecular Function
biotin transport	878	Biological Process
biotin transmembrane transporter activity	878	Molecular Function
Glutathione-mediated detoxification II	876	Metacyc
cytochrome complex	875	Cellular Component
Ubiquinol-8 biosynthesis (eukaryotic)	874	Metacyc
Crotonyl-coa/ethylmalonyl-coa/hydroxybutyryl-coa cycle (engineered)	873	Metacyc
Regulation of PTEN stability and activity	871	Reactome
peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid	870	Biological Process
cysteine synthase activity	870	Molecular Function
pantothenate catabolic process	869	Biological Process
phosphopantothenate--cysteine ligase activity	869	Molecular Function
phosphopantothenoylcysteine decarboxylase activity	869	Molecular Function
aspartate carbamoyltransferase activity	861	Molecular Function
aspartate-semialdehyde dehydrogenase activity	861	Molecular Function
Erythrocytes take up carbon dioxide and release oxygen	861	Reactome
methionine metabolic process	860	Biological Process
oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor	860	Molecular Function
succinate dehydrogenase activity	857	Molecular Function
oxidoreductase activity, acting on other nitrogenous compounds as donors	854	Molecular Function
Degradation of the extracellular matrix	853	Reactome
4-alpha-glucanotransferase activity	850	Molecular Function
histidyl-tRNA aminoacylation	848	Biological Process
histidine-tRNA ligase activity	848	Molecular Function
UDP-N-acetylmuramate-L-alanine ligase activity	847	Molecular Function
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	846	Reactome
adenine salvage	845	Biological Process
adenine phosphoribosyltransferase activity	845	Molecular Function
Adenine and adenosine salvage II	845	Metacyc
fucose metabolic process	841	Biological Process
UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity	838	Molecular Function
NAD metabolic process	837	Biological Process
dethiobiotin synthase activity	835	Molecular Function
regulation of sporulation	833	Biological Process
organic phosphonate transport	832	Biological Process
positive regulation of transcription, DNA-templated	831	Biological Process
glucuronate catabolic process	830	Biological Process
regulation of pH	830	Biological Process
3-deoxy-manno-octulosonate cytidylyltransferase activity	829	Molecular Function
monosaccharide binding	826	Molecular Function
N-acetylglucosamine-6-phosphate deacetylase activity	826	Molecular Function
Proton/oligopeptide cotransporters	825	Reactome
DNA-dependent DNA replication	824	Biological Process
aerobic respiration	822	Biological Process
amidophosphoribosyltransferase activity	822	Molecular Function
threonine-type endopeptidase activity	821	Molecular Function
Butanol and isobutanol biosynthesis (engineered)	821	Metacyc
phosphatidylserine decarboxylase activity	812	Molecular Function
dipeptidyl-peptidase activity	811	Molecular Function
pentose-phosphate shunt, non-oxidative branch	810	Biological Process
ribose-5-phosphate isomerase activity	810	Molecular Function
RPIA deficiency: failed conversion of R5P to RU5P	810	Reactome
RPIA deficiency: failed conversion of RU5P to R5P	810	Reactome
Melanin biosynthesis	808	Reactome
Degradation of beta-catenin by the destruction complex	807	Reactome
D-ribose metabolic process	805	Biological Process
negative regulation of DNA recombination	805	Biological Process
ribokinase activity	805	Molecular Function
precorrin-8X methylmutase activity	803	Molecular Function
Phospholipid remodeling (phosphatidate, yeast)	801	Metacyc
Methionine salvage pathway	801	Reactome
excinuclease ABC activity	800	Molecular Function
ABC-family proteins mediated transport	800	Reactome
cob(I)yrinic acid a,c-diamide adenosyltransferase activity	795	Molecular Function
Pyruvate fermentation to ethanol I	795	Metacyc
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity	793	Molecular Function
peptide metabolic process	792	Biological Process
tripeptide aminopeptidase activity	792	Molecular Function
3'-5' DNA helicase activity	790	Molecular Function
glycine decarboxylation via glycine cleavage system	789	Biological Process
methylglyoxal biosynthetic process	788	Biological Process
methylglyoxal synthase activity	788	Molecular Function
pyrophosphate hydrolysis-driven proton transmembrane transporter activity	788	Molecular Function
Methanobacterium thermoautotrophicum biosynthetic metabolism	787	Metacyc
N-end rule pathway I (prokaryotic)	787	Metacyc
CLEC7A (Dectin-1) signaling	787	Reactome
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	787	Reactome
Constitutive Signaling by NOTCH1 PEST Domain Mutants	787	Reactome
Downstream TCR signaling	787	Reactome
FCERI mediated NF-kB activation	787	Reactome
Bryostatin biosynthesis	785	Metacyc
Fatty acid biosynthesis initiation (plant mitochondria)	785	Metacyc
Mupirocin biosynthesis	785	Metacyc
Pederin biosynthesis	785	Metacyc
APC/C:Cdc20 mediated degradation of Securin	784	Reactome
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	784	Reactome
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	784	Reactome
CDK-mediated phosphorylation and removal of Cdc6	784	Reactome
Dectin-1 mediated noncanonical NF-kB signaling	784	Reactome
NIK-->noncanonical NF-kB signaling	784	Reactome
ferrous iron transmembrane transporter activity	783	Molecular Function
Autodegradation of Cdh1 by Cdh1:APC/C	783	Reactome
Defective CFTR causes cystic fibrosis	783	Reactome
Ubiquinol-10 biosynthesis (eukaryotic)	782	Metacyc
Ubiquinol-7 biosynthesis (eukaryotic)	782	Metacyc
Ubiquinol-9 biosynthesis (eukaryotic)	782	Metacyc
Collagen degradation	781	Reactome
Activation of NF-kappaB in B cells	779	Reactome
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	779	Reactome
Interleukin-1 signaling	779	Reactome
Regulation of RUNX2 expression and activity	779	Reactome
SCF-beta-TrCP mediated degradation of Emi1	779	Reactome
Vpu mediated degradation of CD4	779	Reactome
Negative regulation of NOTCH4 signaling	778	Reactome
RUNX1 regulates transcription of genes involved in differentiation of HSCs	778	Reactome
SCF(Skp2)-mediated degradation of p27/p21	778	Reactome
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	777	Reactome
4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	776	Metacyc
Adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II	776	Metacyc
Phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	776	Metacyc
Pyrimidine deoxyribonucleosides degradation	776	Metacyc
NOTCH1 Intracellular Domain Regulates Transcription	776	Reactome
MAPK6/MAPK4 signaling	773	Reactome
protein maturation by iron-sulfur cluster transfer	770	Biological Process
Asymmetric localization of PCP proteins	770	Reactome
AUF1 (hnRNP D0) binds and destabilizes mRNA	770	Reactome
Autodegradation of the E3 ubiquitin ligase COP1	770	Reactome
Degradation of AXIN	770	Reactome
Degradation of DVL	770	Reactome
G2/M Checkpoints	770	Reactome
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	770	Reactome
Regulation of activated PAK-2p34 by proteasome mediated degradation	770	Reactome
Regulation of RAS by GAPs	770	Reactome
TNFR2 non-canonical NF-kB pathway	770	Reactome
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	770	Reactome
Ubiquitin-dependent degradation of Cyclin D	770	Reactome
Vif-mediated degradation of APOBEC3G	770	Reactome
Tropane, piperidine and pyridine alkaloid biosynthesis	769	KEGG
Regulation of RUNX3 expression and activity	769	Reactome
ATPase-coupled amino acid transmembrane transporter activity	768	Molecular Function
tRNA adenylyltransferase activity	767	Molecular Function
thiamine binding	765	Molecular Function
transferase activity, transferring amino-acyl groups	765	Molecular Function
thiamine-phosphate diphosphorylase activity	764	Molecular Function
Protein ubiquitination	764	Metacyc
acid phosphatase activity	763	Molecular Function
polyphosphate kinase activity	761	Molecular Function
Novobiocin biosynthesis	761	KEGG
Glycogen storage disease type IV (GBE1)	761	Reactome
GTP biosynthetic process	759	Biological Process
nucleoside diphosphate phosphorylation	759	Biological Process
UTP biosynthetic process	759	Biological Process
nucleoside diphosphate kinase activity	759	Molecular Function
5-Phosphoribose 1-diphosphate biosynthesis	756	Reactome
adenosylmethionine decarboxylase activity	754	Molecular Function
Dermatan sulfate biosynthesis	754	Reactome
Cross-presentation of soluble exogenous antigens (endosomes)	752	Reactome
Regulation of ornithine decarboxylase (ODC)	752	Reactome
Ether lipid metabolism	750	KEGG
L-glutamate transmembrane transport	749	Biological Process
glutamate N-acetyltransferase activity	749	Molecular Function
glutamate:sodium symporter activity	749	Molecular Function
cyclic-di-GMP binding	748	Molecular Function
signaling receptor activity	747	Molecular Function
Notch-HLH transcription pathway	747	Reactome
